Date,Open,High,Low,Close,Volume
2020-03-18,210.0,235.84,206.17,217.14,4175964
2020-03-19,217.57,219.78,201.52,209.0,3847773
2020-03-20,207.0,210.0,192.37,195.39,3940906
2020-03-23,196.0,196.27,174.32,179.09,3890145
2020-03-24,187.79,193.85,179.25,190.27,4221419
2020-03-25,188.9,208.54,186.03,199.26,3200537
2020-03-26,198.15,226.29,198.0,222.2,3413331
2020-03-27,216.19,222.04,211.73,218.48,3367099
2020-03-30,222.68,231.97,221.34,230.58,2581577
2020-03-31,228.46,230.0,215.92,217.75,4629660
2020-04-01,205.81,213.4,202.03,206.97,3771958
2020-04-02,207.0,221.09,205.59,220.75,3993125
2020-04-03,219.16,223.75,216.82,222.8,2857967
2020-04-06,228.02,236.22,227.0,235.18,3050323
2020-04-07,241.11,243.88,227.03,227.77,2226096
2020-04-08,229.64,249.65,228.0,249.25,3327432
2020-04-09,248.5,260.43,248.2,259.61,4330804
2020-04-13,256.7,257.36,246.76,249.76,1830203
2020-04-14,255.08,257.67,252.52,255.1,2011656
2020-04-15,252.93,252.98,243.21,247.49,1909737
2020-04-16,249.59,252.72,247.55,251.78,1640591
2020-04-17,256.56,257.77,248.08,254.06,2327891
2020-04-20,252.03,253.0,248.51,248.68,1281769
2020-04-21,245.21,245.87,239.1,242.0,1925355
2020-04-22,246.23,255.11,245.56,252.98,2041449
2020-04-23,252.19,254.81,248.14,248.6,1419157
2020-04-24,250.28,251.49,243.77,244.61,1775554
2020-04-27,247.0,252.29,245.24,250.22,1557452
2020-04-28,255.25,255.8,242.72,243.53,2091889
2020-04-29,251.02,251.02,235.67,236.81,3505682
2020-04-30,234.11,239.09,232.71,238.0,3409752
2020-05-01,233.24,235.9,232.59,234.2,1896830
2020-05-04,237.39,237.5,228.11,236.63,1642733
2020-05-05,237.68,243.55,237.68,240.26,1421209
2020-05-06,240.86,242.24,236.79,237.26,1441421
2020-05-07,239.18,239.67,235.03,235.25,2548933
2020-05-08,237.65,240.25,236.68,238.36,1879699
2020-05-11,236.08,242.93,234.48,238.23,2040604
2020-05-12,239.36,240.25,230.74,231.69,1852479
2020-05-13,231.26,237.08,229.39,231.15,2200639
2020-05-14,229.38,231.0,224.76,229.62,2112424
2020-05-15,228.35,229.97,223.83,229.58,2246813
2020-05-18,236.07,238.14,232.07,236.03,1792845
2020-05-19,235.08,236.85,229.66,229.97,1542336
2020-05-20,231.98,232.66,228.92,230.14,1346594
2020-05-21,229.39,230.48,227.12,228.16,1263221
