Date,Open,High,Low,Close,Volume
2019-09-25,118.22,118.29,117.08,117.77,4522900
2019-09-26,117.86,118.05,115.1,115.84,7545800
2019-09-27,115.63,116.34,113.91,115.62,6006500
2019-09-30,116.04,117.13,115.98,116.32,6552100
2019-10-01,116.89,117.59,116.67,116.87,7673000
2019-10-02,119.36,121.1,117.97,118.67,12051800
2019-10-03,118.35,119.01,116.88,117.95,6997600
2019-10-04,118.08,120.22,118.0,120.17,7233300
2019-10-07,119.65,120.31,118.8,119.72,5427200
2019-10-08,119.08,119.81,118.21,118.53,7870400
2019-10-09,117.9,118.0,115.54,116.17,7787700
2019-10-10,115.93,116.98,115.64,116.03,5119700
2019-10-11,117.9,119.23,117.61,118.07,7161400
2019-10-14,118.1,118.1,117.25,117.52,5700000
2019-10-15,119.57,120.7,118.76,119.43,10008800
2019-10-16,121.28,122.8,120.29,121.52,12434200
2019-10-17,122.23,123.61,121.95,122.42,8434000
2019-10-18,119.85,120.82,114.81,114.81,25868700
2019-10-21,115.68,116.58,114.23,115.1,13823600
2019-10-22,115.76,117.36,115.16,116.16,7613700
2019-10-23,116.57,117.31,116.04,116.79,6693400
2019-10-24,117.25,117.4,113.37,114.63,12111600
2019-10-25,114.92,116.07,114.46,115.39,6947300
2019-10-28,115.63,116.88,115.54,116.14,7876300
2019-10-29,116.61,116.85,115.58,116.08,4506300
2019-10-30,119.84,120.05,118.43,119.43,9627600
2019-10-31,119.02,119.43,117.68,118.71,7686700
2019-11-01,118.72,119.57,117.9,117.95,5541800
2019-11-04,118.49,118.63,116.96,117.08,6140300
2019-11-05,117.35,118.2,116.59,117.25,6257300
2019-11-06,117.25,118.21,116.61,117.74,5450000
2019-11-07,118.43,119.02,117.78,118.16,5873700
2019-11-08,118.04,119.61,117.75,119.57,5003000
2019-11-11,118.92,119.14,118.07,118.66,4371400
2019-11-12,118.67,118.75,117.79,118.09,5228700
2019-11-13,117.81,118.21,117.52,118.02,5885400
2019-11-14,117.8,118.1,117.0,117.74,4217500
2019-11-15,118.0,121.34,117.58,121.32,10495100
2019-11-18,120.67,121.99,119.27,121.22,9291800
2019-11-19,121.37,121.54,120.66,121.21,5192200
2019-11-20,121.47,122.58,120.53,122.22,7594400
2019-11-21,122.22,123.03,121.37,122.66,6424900
2019-11-22,122.85,124.63,122.72,124.13,9235800
2019-11-25,124.08,124.61,123.33,124.18,6111900
2019-11-26,123.54,124.33,122.35,124.18,10636500
2019-11-27,124.17,125.15,123.93,124.7,5523000
2019-11-29,124.56,125.17,123.97,124.47,3278900
2019-12-02,124.67,124.79,123.89,124.35,4717100
2019-12-03,123.94,124.43,123.26,124.17,5741400
2019-12-04,125.38,126.5,124.96,126.18,7257300
2019-12-05,126.15,126.51,124.88,126.34,5472900
2019-12-06,126.25,128.17,126.25,127.08,6640400
2019-12-09,127.09,127.47,126.79,127.19,4241000
2019-12-10,127.46,127.64,126.66,126.73,5310300
2019-12-11,127.58,128.53,127.31,127.62,6631500
2019-12-12,127.93,128.6,127.4,127.95,5012400
2019-12-13,127.73,128.37,127.02,127.99,4257200
